timeElapsed,angle,buzzerOn
31386.0,-2.05,0
31672.0,-0.68,0
31960.0,-0.67,0
32248.0,-1.35,0
32536.0,-1.35,0
32823.0,-0.67,0
33111.0,0.0,0
33397.0,-1.33,0
33685.0,0.67,0
33971.0,-1.36,0
34259.0,-2.02,0
34547.0,-1.36,0
34835.0,-2.0,0
35121.0,0.0,0
35408.0,-2.05,0
35696.0,-0.68,0
35983.0,0.0,0
36269.0,-0.65,0
36557.0,-0.67,0
36845.0,-2.69,0
37132.0,3.62,0
37419.0,-11.59,0
37707.0,-47.08,0
37996.0,-64.9,0
38284.0,-67.33,0
38573.0,-67.58,0
38861.0,-67.07,0
39150.0,-71.77,1
39438.0,-77.4,1
39727.0,-78.42,1
40016.0,-75.64,1
40304.0,-81.96,1
40592.0,-75.35,1
40881.0,-64.11,1
41169.0,-26.91,0
41458.0,-9.57,0
41746.0,-0.68,0
42032.0,-1.33,0
42320.0,0.0,0
42607.0,-1.35,0
42894.0,-2.69,0
43181.0,-0.67,0
43469.0,-1.36,0
43757.0,-1.35,0
44044.0,-2.0,0
44331.0,-1.36,0
44619.0,-3.37,0
44907.0,-0.67,0
45194.0,-2.6,0
45481.0,-0.68,0
45769.0,-2.69,0
46057.0,0.0,0
46343.0,-2.0,0
46631.0,-0.66,0
46918.0,-2.66,0
47205.0,-3.25,0
47493.0,-2.02,0
47781.0,-1.97,0
48068.0,-1.93,0
48355.0,-2.0,0
48643.0,-1.32,0
48931.0,-0.67,0
49219.0,-1.33,0
49505.0,-0.67,0
49793.0,-2.0,0
50081.0,-3.95,0
50369.0,-7.46,0
50656.0,-15.75,0
50944.0,-7.31,0
51232.0,10.86,0
51520.0,38.9,0
51807.0,40.84,0
52095.0,42.55,0
52383.0,46.94,0
52671.0,50.37,0
52957.0,49.4,0
53245.0,52.31,0
53533.0,52.43,0
53821.0,47.96,0
54108.0,59.9,0
54396.0,60.34,0
54684.0,61.61,0
54970.0,63.13,0
55258.0,68.33,0
55546.0,73.1,1
55834.0,57.46,0
56121.0,23.29,0
56409.0,3.99,0
56696.0,-7.4,0
56984.0,-5.25,0
57271.0,-5.38,0
57558.0,-4.76,0
57846.0,-2.69,0
58134.0,-3.58,0
58421.0,-1.97,0
58709.0,-2.0,0
58997.0,-1.38,0
59284.0,-3.33,0
59571.0,-0.67,0
59859.0,-3.33,0
60147.0,-0.69,0
60435.0,-3.37,0
60722.0,-3.33,0
61010.0,-1.3,0
61297.0,-3.33,0
61584.0,0.0,0
61871.0,2.32,0
62158.0,-17.82,0
62447.0,-38.97,0
62735.0,-37.57,0
63023.0,-24.5,0
63312.0,-2.1,0
63600.0,-1.35,0
63887.0,-14.74,0
64176.0,-12.59,0
64464.0,49.47,0
64752.0,49.93,0
65039.0,53.79,0
65327.0,4.95,0
65614.0,11.16,0
65902.0,-2.29,0
66189.0,-5.78,0
66476.0,-1.33,0
66764.0,-2.76,0
67052.0,-2.05,0
67339.0,-3.33,0
67627.0,-1.32,0
67914.0,-4.09,0
68202.0,-0.66,0
68489.0,-1.33,0
68777.0,-2.0,0
69065.0,-2.63,0
69352.0,-2.66,0
69639.0,-2.76,0
69927.0,-2.0,0
70215.0,-2.05,0
70503.0,-2.0,0
70789.0,-1.36,0
71077.0,0.0,0
71364.0,-2.05,0
71651.0,-2.0,0
71938.0,-3.41,0
72226.0,-1.3,0
72514.0,-2.66,0
72801.0,-1.36,0
73089.0,-0.69,0
73376.0,-0.67,0
73664.0,-0.67,0
73951.0,-2.63,0
74239.0,-2.69,0
74527.0,-2.69,0
74814.0,-1.97,0
75101.0,-2.0,0
75389.0,-1.32,0
75677.0,-0.67,0
75964.0,0.0,0
76250.0,-2.73,0
76538.0,-3.29,0
76826.0,-1.33,0
77113.0,-3.37,0
77401.0,-2.66,0
77688.0,-2.0,0
77976.0,-1.35,0
78263.0,-2.02,0
78551.0,-3.41,0
78839.0,-2.69,0
79127.0,-1.33,0
79413.0,-2.0,0
79701.0,-1.33,0
79989.0,-1.32,0
80277.0,-2.05,0
80564.0,-0.68,0
80852.0,-4.6,0
81139.0,-1.33,0
81427.0,-1.35,0
81714.0,0.0,0
82001.0,-2.69,0
82289.0,-1.33,0
